Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Squad
2019-01-23,19:00,Ligue 1,Matchweek 20,Wed,Home,W,3,1,Angers,1.5,1.7,47.0,12015.0,Anthony Briançon,4-4-2,4-3-3,Olivier Thual,Match Report,,Nimes
2019-01-26,20:00,Ligue 1,Matchweek 22,Sat,Away,L,0,2,Nice,0.8,1.7,36.0,15982.0,Anthony Briançon,4-4-2,4-3-3,Benoît Millot,Match Report,,Nimes
2019-02-03,15:00,Ligue 1,Matchweek 23,Sun,Home,D,1,1,Montpellier,0.7,0.9,42.0,18045.0,Anthony Briançon,4-3-3,3-4-1-2,Antony Gautier,Match Report,,Nimes
2019-02-10,15:00,Ligue 1,Matchweek 24,Sun,Away,W,4,2,Nantes,1.7,1.9,38.0,34219.0,Renaud Ripart,4-4-2,4-3-3,Clément Turpin,Match Report,,Nimes
2019-02-15,19:00,Ligue 1,Matchweek 25,Fri,Home,W,2,0,Dijon,1.2,1.2,48.0,12703.0,Anthony Briançon,4-4-2,4-1-2-1-2,Jérôme Miguelgorry,Match Report,,Nimes
2019-02-23,17:00,Ligue 1,Matchweek 26,Sat,Away,L,0,3,Paris S-G,0.6,3.9,30.0,47377.0,Anthony Briançon,4-1-4-1,3-4-3,Amaury Delerue,Match Report,,Nimes
2019-03-09,20:00,Ligue 1,Matchweek 28,Sat,Away,L,1,2,Amiens,1.0,2.3,54.0,10523.0,Anthony Briançon,4-2-2-2,4-4-2,Willy Delajod,Match Report,,Nimes
2019-03-16,20:00,Ligue 1,Matchweek 29,Sat,Home,D,2,2,Strasbourg,2.4,0.7,64.0,13114.0,Anthony Briançon,4-3-3,3-1-4-2,Amaury Delerue,Match Report,,Nimes
2019-04-01,20:30,Ligue 1,Matchweek 30,Mon,Away,L,1,2,Saint-Étienne,1.5,2.2,40.0,22595.0,Anthony Briançon,4-4-2,4-2-3-1,Karim Abed,Match Report,,Nimes
2019-04-06,20:00,Ligue 1,Matchweek 31,Sat,Home,W,2,0,Caen,1.1,0.2,49.0,12183.0,Anthony Briançon,4-1-4-1,3-4-1-2,Olivier Thual,Match Report,,Nimes
2019-04-09,19:00,Ligue 1,Matchweek 27,Tue,Home,W,3,1,Rennes,1.7,0.6,46.0,13142.0,Anthony Briançon,4-3-3,4-4-1-1,Florent Batta,Match Report,,Nimes
2019-04-13,17:00,Ligue 1,Matchweek 32,Sat,Away,L,1,2,Marseille,1.1,1.0,41.0,62614.0,Renaud Ripart,4-1-4-1,4-2-3-1,Franck Schneider,Match Report,,Nimes
2019-04-20,20:00,Ligue 1,Matchweek 33,Sat,Home,W,2,1,Bordeaux,1.3,1.1,40.0,17092.0,Renaud Ripart,4-4-2,3-4-3,Florent Batta,Match Report,,Nimes
2019-04-28,15:00,Ligue 1,Matchweek 34,Sun,Away,L,0,5,Lille,0.9,2.4,41.0,36356.0,Renaud Ripart,4-3-3,4-4-2,Amaury Delerue,Match Report,,Nimes
2019-05-04,20:00,Ligue 1,Matchweek 35,Sat,Away,W,3,0,Reims,2.0,0.4,44.0,13314.0,Anthony Briançon,4-3-3,4-2-3-1,Thomas Léonard,Match Report,,Nimes
2019-05-11,20:00,Ligue 1,Matchweek 36,Sat,Home,W,1,0,Monaco,1.9,0.9,45.0,14811.0,Anthony Briançon,4-1-4-1,4-1-4-1,Jeremy Stinat,Match Report,,Nimes
2019-05-18,21:00,Ligue 1,Matchweek 37,Sat,Away,D,2,2,Guingamp,1.8,2.9,44.0,12096.0,Anthony Briançon,4-3-3,4-2-3-1,Jérôme Miguelgorry,Match Report,,Nimes
2019-05-24,21:05,Ligue 1,Matchweek 38,Fri,Home,L,2,3,Lyon,1.5,1.4,41.0,14986.0,Anthony Briançon,4-3-3,4-2-3-1,François Letexier,Match Report,,Nimes
2022-08-07,13:00,Ligue 1,Matchweek 1,Sun,Away,D,1,1,Toulouse,1.2,0.9,54.0,20567.0,Dante,4-3-3,4-2-3-1,Johan Hamel,Match Report,,Nice
2022-08-14,17:05,Ligue 1,Matchweek 2,Sun,Home,D,1,1,Strasbourg,1.6,0.9,55.0,24707.0,Dante,4-2-3-1,3-5-2,Hakim Ben El Hadj Salem,Match Report,,Nice
2022-08-18,20:00,Conf Lg,Play-off round,Thu,Away,L,0,1,il Maccabi Tel Aviv,,,,26871.0,Dante,4-2-3-1,3-5-2,Allard Lindhout,Match Report,Leg 1 of 2,Nice
2022-08-21,15:00,Ligue 1,Matchweek 3,Sun,Away,L,0,1,Clermont Foot,1.4,0.7,52.0,11500.0,Dante,4-2-3-1,4-2-3-1,Thomas Léonard,Match Report,,Nice
2022-08-25,20:00,Conf Lg,Play-off round,Thu,Home,W,2,0,il Maccabi Tel Aviv,,,,20117.0,Dante,4-2-3-1,5-3-2,Sascha Stegemann,Match Report,Leg 2 of 2; Nice won; Required Extra Time,Nice
2022-08-28,15:00,Ligue 1,Matchweek 4,Sun,Home,L,0,3,Marseille,1.0,1.4,49.0,31418.0,Dante,4-2-3-1,3-4-3,François Letexier,Match Report,,Nice
2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Away,W,2,1,Lille,1.6,0.9,38.0,30254.0,Dante,3-5-2,4-2-3-1,Jeremy Stinat,Match Report,,Nice
2022-09-04,20:45,Ligue 1,Matchweek 6,Sun,Home,L,0,1,Monaco,0.7,1.1,52.0,24125.0,Dante,3-4-3,3-4-3,Benoît Millot,Match Report,,Nice
2022-09-08,19:40,Conf Lg,Group stage,Thu,Home,D,1,1,de Köln,,,,19000.0,Dante,4-3-3,4-2-3-1,Luís Godinho,Match Report,,Nice
2022-09-11,15:00,Ligue 1,Matchweek 7,Sun,Away,W,1,0,Ajaccio,1.2,1.2,55.0,7068.0,Dante,4-4-2,4-4-2,Eric Wattellier,Match Report,,Nice
2022-09-15,21:00,Conf Lg,Group stage,Thu,Away,D,1,1,rs Partizan,,,,9126.0,Dante,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,Nice
2022-09-18,15:00,Ligue 1,Matchweek 8,Sun,Home,L,0,1,Angers,1.3,1.5,50.0,18545.0,Dante,4-4-2,4-2-3-1,Bastien Dechepy,Match Report,,Nice
2022-10-01,21:00,Ligue 1,Matchweek 9,Sat,Away,L,1,2,Paris S-G,0.5,1.0,43.0,47000.0,Dante,5-4-1,3-4-3,Jérôme Brisard,Match Report,,Nice
2022-10-06,18:45,Conf Lg,Group stage,Thu,Away,W,1,0,cz Slovácko,,,,7447.0,Dante,4-4-2,4-2-3-1,Julian Weinberger,Match Report,,Nice
2022-10-09,15:00,Ligue 1,Matchweek 10,Sun,Home,W,3,2,Troyes,2.6,1.5,61.0,18053.0,Dante,3-4-3,5-4-1,Johan Hamel,Match Report,,Nice
2022-10-13,21:00,Conf Lg,Group stage,Thu,Home,L,1,2,cz Slovácko,,,,,Dante,3-4-3,4-2-3-1,Iwan Griffith,Match Report,,Nice
